year,month,month_label,customs_duties_bn,goods_imports_bop_bn,goods_exports_bop_bn
2024,1,Jan 2024,6.4766,256.3700,161.4080
2024,2,Feb 2024,6.2084,244.7710,168.6730
2024,3,Mar 2024,6.0643,261.4400,180.6010
2024,4,Apr 2024,6.3665,273.6550,172.2120
2024,5,May 2024,5.2247,277.6080,174.5230
2024,6,Jun 2024,6.3233,268.0810,175.2710
2024,7,Jul 2024,7.1335,290.4300,170.7980
2024,8,Aug 2024,7.0470,279.6980,181.4250
2024,9,Sep 2024,7.2493,288.1780,172.8640
2024,10,Oct 2024,7.2973,291.2610,178.4660
2024,11,Nov 2024,6.7119,276.4130,176.3440
2024,12,Dec 2024,6.8144,287.2750,167.1940
2025,1,Jan 2025,7.3414,319.1710,165.8930
2025,2,Feb 2025,7.2468,290.2240,170.4230
2025,3,Mar 2025,8.1679,344.9160,192.9670
2025,4,Apr 2025,15.6339,277.8980,190.4270
2025,5,May 2025,22.1726,278.3030,183.7670
2025,6,Jun 2025,26.6317,267.6750,180.8530
2025,7,Jul 2025,27.6701,294.4940,177.2270
2025,8,Aug 2025,29.5029,265.0400,180.3490
2025,9,Sep 2025,29.6750,278.2550,187.6020
2025,10,Oct 2025,31.3535,276.3250,204.3260
2025,11,Nov 2025,30.7560,262.3080,183.8410
2025,12,Dec 2025,27.8924,283.7210,179.8400
2026,1,Jan 2026,27.7424,262.2210,187.0440
2026,2,Feb 2026,26.5938,,
